user_id,rank,movie_title,predicted_rating
0,1,Pulp Fiction (1994),4.646075758185484
0,2,Out of Africa (1985),4.450774813245201
0,3,RRR (2022),4.3933154907673115
0,4,Wallace & Gromit: A Close Shave (1995),4.540344220954942
0,5,Once Upon a Time in America (1984),4.446282391759728
0,6,Snowden (2016),4.308346533027787
0,7,Ponyo (Gake no ue no Ponyo) (2008),4.288247231077918
0,8,Reservoir Dogs (1992),4.422929557047846
0,9,Toy Story 2 (1999),4.223170827251023
0,10,Empire of the Sun (1987),4.3293595272381795
